Store,store_name,Group_store,store_longitude,store_latitude,store_address
1,Effoc Coffee Nguyễn Văn Tráng,Effoc Coffee,106.6921077,10.7701311,"29 Nguyễn Văn Tráng, Phường Phạm Ngũ Lão, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM"
2,KOI THÉ GÒ VẤP,KOI Thé,106.69293799999998,10.824744,"L6.2 Khu Dân Cư City Land  Phan Văn Trị, Phường 5, Quận Gò Vấp, Thành Phố Hồ Chí Minh, VIỆT NAM"
3,Phúc Long Coffee & Tea House - Bitexco,Phúc Long Coffee & Tea House,106.7043,10.771572,"4F-16, Khu Vực ẩm thực Food Creative, Lầu 4, toà nhà Bitexco, số 2 Hải Triều, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM"
4,Gong Cha Biên Hòa,Gongcha,106.8302896,10.9469239,"K67 N2, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai, VIỆT NAM"
5,Passio - 542 Huỳnh Tấn Phát,Passio,106.7301213,10.738098,"542  Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Thành Phố Hồ Chí Minh, VIỆT NAM"
6,YiFang Taiwan Fruit Tea- Phạm Ngọc Thạch ,YiFang Tea,105.8327825,21.0075882,"Kiot số 10-11 B4  Phạm Ngọc Thạch, Phường Trung Liệt, Quận Đống Đa, Hà Nội, VIỆT NAM"
7,Phúc Long Coffee & Tea House - Phúc Long Hàng Điếu Hà Nội,Phúc Long Coffee & Tea House,105.84686299999998,21.0321779,"82-84 Hàng Điếu, Phường Cửa Đông, Quận Hoàn Kiếm, TP. Hà Nội"
8,ALTO COFFEE,ALTO COFFEE,106.6813637,10.7751194,"408 điện biên phủ, Phường 11, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM"
9,KOI THÉ SAIGON GARDEN,KOI Thé,106.703576,10.773323,"108-110 Hồ Tùng Mậu, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM"
10,Share Tea Nguyễn Đình Chiểu,Sharetea,106.69481100000002,10.783691,"130A Nguyễn Đình Chiểu, Phường 6, Quận 3, Thành Phố Hồ Chí Minh, VIỆT NAM"
11,"Passio - Số 3 Building 9, CTY Phần Mềm Quang Trung",Passio,106.638007,10.847255,"Số 3 Building 9 Quang Trung , Phường Tân Hưng Thuận, Quận 12, Thành Phố Hồ Chí Minh, VIỆT NAM"
12,KOI THÉ NOWZONE,KOI Thé,106.683429,10.762204,"235 Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM"
13,Passio - 179 Nguyễn Cư Trinh,Passio,106.6874989,10.7627325,"179B Nguyễn Cư Trinh, Phường Nguyễn Cư Trinh, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM"
14,Toocha Sư Vạn Hạnh,Toocha,106.668293,10.774617999999998,"748 Sư Vạn Hạnh, Phường 12, Quận 10, Thành Phố Hồ Chí Minh, VIỆT NAM"
15,Cheese Coffee Nguyễn Du,Cheese Coffee,106.700886,10.779872,"53G Nguyễn Du, Phường Bến Nghé, Quận 1, TP.HCM"
16,Heekcaa Sài Gòn - Cửa hàng Lê Văn Sỹ,HEEKCAA,106.673846,10.78992,"491 Lê Văn Sỹ, P. 12, Quận 03, TPHCM"
17,Tocotoco - 51 Quốc Hương,Tocotoco,106.7324608,10.8026891,"51 Quốc Hương, Phường Thảo Điền, Quận 2, Thành Phố Hồ Chí Minh, VIỆT NAM"
18,Cheese Coffee Phan Văn Trị,Cheese Coffee,106.6931781,10.8133741,"190C Phan Văn Trị, Phường 11, Quận Bình Thạnh, Thành Phố Hồ Chí Minh, VIỆT NAM"
19,The Coffee House Quang Trung,The Coffee House,106.6637149,10.8347746,"293 Quang Trung, P.10, Q.Gò Vấp, Thành Phố Hồ Chí Minh, Việt Nam"
20,The Coffee House Nguyễn Ảnh Thủ,The Coffee House,106.613918,10.866396,"93/5B Nguyễn Ảnh Thủ, Phường Trung Chánh, Quận Hóc Môn, Thành Phố Hồ Chí Minh, VIỆT NAM"
21,TocoToco - 12 Tân Mai,Tocotoco,105.8511879,20.983402,"12 Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội, VIỆT NAM"
22,Tocotoco - 52 Hòa Bình,Tocotoco,106.640771,10.767827,"52 Hòa Bình, Phường 5, Quận 11, Thành Phố Hồ Chí Minh, VIỆT NAM"
23,Trung Nguyên Legend,Trung Nguyên Legend,105.849734,21.028387,"08 Nhà Chung, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM"
24,My Life Coffee 160 Nguyễn Cư Trinh,My Life Coffee,106.688712,10.763512,"160 Nguyễn Cư Trinh, Phường Nguyễn Cư Trinh, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM"
25,Sharetea 25 Nhà Thờ,Sharetea,105.8497,21.028813,"25  phố Nhà Thờ, Phường Hàng Trống, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM"
26,Gongcha Hồ Tùng Mậu 2,Gongcha,106.7035159,10.772152,"89-91 Hồ Tùng Mậu, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM"
27,Phúc Long Coffee & Tea House - Vincom Quang Trung,Phúc Long Coffee & Tea House,106.6725251,10.8292414,"190 Quang Trung, P.10, Quận Gò Vấp"
28,MilanoCoffee,CAFE MILANO,106.6811621,10.7786265,"28 Nguyễn Phúc Nguyên, Phường 9, Quận 3, TP Hồ Chí Minh"
29,YiFang Taiwan Fruit Tea- Vinhome Gardenia ,YiFang Tea,105.76077820000002,21.0360908,"20B2 Hàm Nghi, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội, VIỆT NAM"
30,Smoothie - Phan Văn Trị,Smoothie,106.69342749999998,10.8237347,"366 Phan Văn Trị, Phường 5, Quận Gò Vấp, Thành Phố Hồ Chí Minh, VIỆT NAM"
31,Trung Nguyên Legend,Trung Nguyên Legend,105.849734,21.028387,"08 Nhà Chung, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội, VIỆT NAM"
32,Gongcha Hồ Tùng Mậu,Gongcha,106.7035244,10.772111099999998,"83 Hồ Tùng Mậu, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM"
33,Soya Garden - Nha Trang,Soya Garden,109.1963733,12.2406634,"L1-09A, TTTM A&B Central Square, Số 44 Trần Phú, Nha Trang, Khánh Hòa"
34,YiFang Taiwan Fruit Tea -174 Phan Xich Long,YiFang Tea,106.6863943,10.7990795,"174 Phan Xích Long, Phường 3, Quận Phú Nhuận, Thành Phố Hồ Chí Minh, VIỆT NAM"
35,MR GOOD TEA,MR GOOD TEA,105.8625069,20.991361,"107A9 Mai Động, Phường Mai Động, Quận Hoàng Mai, Hà Nội, VIỆT NAM"
36,Gong Cha Đà Nẵng,Gongcha,108.215714,16.0604039,"25-27-29 Nguyễn Văn Linh, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng, VIỆT NAM"
37,Phúc Long Coffee & Tea House - Landmark 81,Phúc Long Coffee & Tea House,106.7174578,10.7995679,"số 772 Điện Biên Phủ, P.22, Q. Bình Thạnh, TPHCM"
38,Tocotoco - Time City,Tocotoco,105.8671037,20.9972755,"K4 Đường Thanh Niên, Time City, 458 Minh Khai, Phường Vĩnh Tuy, Quận Hai Bà Trưng, Hà Nội, VIỆT NAM"
39,TocoToco - Đường 41,Tocotoco,106.6999784,10.7580636,"Số 2 Đường 41, Phường 6, Quận 4, Thành Phố Hồ Chí Minh, VIỆT NAM"
